Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/a__1_2""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:15,2021-10-08 09:48:16,0.752s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:16,2021-10-08 09:48:18,2.017s,PASSED
closeBrowser(),Chrome 94.0.4606.71,,,2021-10-08 09:48:18,2021-10-08 09:48:19,0.740s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_05_CN_KEYPAD,Chrome 94.0.4606.71,,,2021-10-08 09:48:19,2021-10-08 09:48:30,11.154s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:48:19,2021-10-08 09:48:21,1.388s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:48:21,2021-10-08 09:48:21,0.137s,PASSED
"navigateToUrl(""http://cnkm-att.myeyelevel.com/"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:21,2021-10-08 09:48:21,0.181s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_05_CN_KEYPAD/Page_KeyManager ver.2/input__id""), ""FC00001854"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:21,2021-10-08 09:48:23,2.121s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_05_CN_KEYPAD/Page_KeyManager ver.2/input__password""), ""/TCuZW3inmPEvew6k7Utpg=="")",Chrome 94.0.4606.71,,,2021-10-08 09:48:23,2021-10-08 09:48:24,0.546s,PASSED
"sendKeys(findTestObject(""Object Repository/KM/OR_KM_WEB_05_CN_KEYPAD/Page_KeyManager ver.2/input__password""), Keys.chord(ENTER))",Chrome 94.0.4606.71,,,2021-10-08 09:48:24,2021-10-08 09:48:25,1.035s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:25,2021-10-08 09:48:27,2.006s,PASSED
"navigateToUrl(""http://cnkm-att.myeyelevel.com/actionLogout.do"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:27,2021-10-08 09:48:27,0.194s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:27,2021-10-08 09:48:29,2.004s,PASSED
closeBrowser(),Chrome 94.0.4606.71,,,2021-10-08 09:48:29,2021-10-08 09:48:30,0.707s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_06_CN_ADMIN,Chrome 94.0.4606.71,,,2021-10-08 09:48:30,2021-10-08 09:48:52,22.129s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:48:30,2021-10-08 09:48:32,1.342s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:48:32,2021-10-08 09:48:32,0.154s,PASSED
"navigateToUrl(""http://cnkm-admin.myeyelevel.com:8090/"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:32,2021-10-08 09:48:32,0.182s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/input_Remember ID_id""), ""ADMIN"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:32,2021-10-08 09:48:34,2.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/input_Remember ID_password""), ""mL+epSfaRG7bBFAcGJ9SYw=="")",Chrome 94.0.4606.71,,,2021-10-08 09:48:34,2021-10-08 09:48:35,0.500s,PASSED
"sendKeys(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/input_Remember ID_password""), Keys.chord(ENTER))",Chrome 94.0.4606.71,,,2021-10-08 09:48:35,2021-10-08 09:48:36,1.065s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:36,2021-10-08 09:48:38,2.011s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/a_""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:38,2021-10-08 09:48:38,0.570s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:38,2021-10-08 09:48:40,2.006s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/a_()""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:40,2021-10-08 09:48:41,0.617s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:41,2021-10-08 09:48:43,2.012s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/a__1""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:43,2021-10-08 09:48:44,0.739s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:44,2021-10-08 09:48:46,2.004s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/a__1_2""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:46,2021-10-08 09:48:46,0.658s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:46,2021-10-08 09:48:48,2.010s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_06_CN_ADMIN/Page_KeyManager ver.2/a_Logout""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:48,2021-10-08 09:48:49,0.673s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:49,2021-10-08 09:48:51,2.014s,PASSED
closeBrowser(),Chrome 94.0.4606.71,,,2021-10-08 09:48:51,2021-10-08 09:48:52,0.718s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_API_01_US_KNOWRE,Chrome 94.0.4606.71,,,2021-10-08 09:48:52,2021-10-08 09:48:55,3.136s,PASSED
"sendRequest(findTestObject(""KM/OR_KM_API_01_US_KNOWRE/accessToken_api_knowre""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:53,2021-10-08 09:48:55,2.395s,PASSED
